metai,dpazru_pavadinimas1,fpzm_id,Textbox4
2003,Aukštojo mokslo diplomas,4603,-
2004,Aukštojo mokslo diplomas,7641,-
2005,Aukštojo mokslo diplomas,11558,-
2006,Aukštojo mokslo diplomas,16795,-
2007,Aukštojo mokslo diplomas,21382,-
2008,Aukštojo mokslo diplomas,54148,-
2009,Aukštojo mokslo diplomas,87631,1
2010,Aukštojo mokslo diplomas,115166,8
2011,Aukštojo mokslo diplomas,123520,12
2012,Aukštojo mokslo diplomas,124557,13
2013,Aukštojo mokslo diplomas,125052,13
2014,Aukštojo mokslo diplomas,125959,13
2015,Aukštojo mokslo diplomas,130819,13
2003,Istoriniai aukštojo mokslo diplomai,67324,-
2004,Istoriniai aukštojo mokslo diplomai,83045,-
2005,Istoriniai aukštojo mokslo diplomai,100266,-
2006,Istoriniai aukštojo mokslo diplomai,116854,-
2007,Istoriniai aukštojo mokslo diplomai,133134,-
2008,Istoriniai aukštojo mokslo diplomai,141334,-
2009,Istoriniai aukštojo mokslo diplomai,148990,-
2010,Istoriniai aukštojo mokslo diplomai,156702,-
2011,Istoriniai aukštojo mokslo diplomai,158376,-
2012,Istoriniai aukštojo mokslo diplomai,159319,-
2013,Istoriniai aukštojo mokslo diplomai,160294,-
2014,Istoriniai aukštojo mokslo diplomai,161335,-
2015,Istoriniai aukštojo mokslo diplomai,161335,-
2003,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,209305,-
2004,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,239801,-
2005,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,267367,-
2006,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,270626,-
2007,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,272210,-
2008,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,273520,-
2009,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,274495,-
2010,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,274936,-
2011,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,275305,-
2012,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,275624,-
2013,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,275861,-
2014,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,276200,-
2015,Istoriniai pagrindinio išsilavinimo įgijimą patvirtinantys pažymėjimai,276200,-
2003,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,1813,-
2004,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,3289,-
2005,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,4416,-
2006,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,4907,-
2007,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5032,-
2008,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5096,-
2009,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5141,-
2010,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5205,-
2011,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5314,-
2012,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5363,-
2013,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5429,-
2014,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5429,-
2015,Istoriniai pradinio išsilavinimo įgijimą patvirtinantys pažymėjimai,5429,-
2003,Istoriniai profesinio mokymo diplomai,145853,-
2004,Istoriniai profesinio mokymo diplomai,164995,-
2005,Istoriniai profesinio mokymo diplomai,182744,-
2006,Istoriniai profesinio mokymo diplomai,198103,-
2007,Istoriniai profesinio mokymo diplomai,210222,-
2008,Istoriniai profesinio mokymo diplomai,218907,-
2009,Istoriniai profesinio mokymo diplomai,226363,-
2010,Istoriniai profesinio mokymo diplomai,234421,-
2011,Istoriniai profesinio mokymo diplomai,240021,-
2012,Istoriniai profesinio mokymo diplomai,245726,-
2013,Istoriniai profesinio mokymo diplomai,246346,-
2014,Istoriniai profesinio mokymo diplomai,246629,-
2015,Istoriniai profesinio mokymo diplomai,246629,-
2003,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,190599,-
2004,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,220985,-
2005,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,249269,-
2006,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,252186,-
2007,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,254077,-
2008,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,255555,-
2009,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,256341,-
2010,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,256822,-
2011,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,257442,-
2012,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,257552,-
2013,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,257891,-
2014,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,258299,-
2015,Istoriniai vidurinio išsilavinimo įgijimą patvirtinantys brandos atestatai,258299,-
2003,Mokslo (meno) laipsnį patvirtinantis diplomas,-,-
2004,Mokslo (meno) laipsnį patvirtinantis diplomas,-,-
2005,Mokslo (meno) laipsnį patvirtinantis diplomas,-,-
2006,Mokslo (meno) laipsnį patvirtinantis diplomas,82,-
2007,Mokslo (meno) laipsnį patvirtinantis diplomas,82,-
2008,Mokslo (meno) laipsnį patvirtinantis diplomas,324,-
2009,Mokslo (meno) laipsnį patvirtinantis diplomas,672,-
2010,Mokslo (meno) laipsnį patvirtinantis diplomas,902,-
2011,Mokslo (meno) laipsnį patvirtinantis diplomas,1185,-
2012,Mokslo (meno) laipsnį patvirtinantis diplomas,1361,-
2013,Mokslo (meno) laipsnį patvirtinantis diplomas,1523,-
2014,Mokslo (meno) laipsnį patvirtinantis diplomas,1642,-
2015,Mokslo (meno) laipsnį patvirtinantis diplomas,1706,-
2003,Profesinio mokymo diplomas,-,-
2004,Profesinio mokymo diplomas,-,-
2005,Profesinio mokymo diplomas,-,-
2006,Profesinio mokymo diplomas,6,-
2007,Profesinio mokymo diplomas,10,-
2008,Profesinio mokymo diplomas,4244,3
2009,Profesinio mokymo diplomas,9376,7
2010,Profesinio mokymo diplomas,10852,8
2011,Profesinio mokymo diplomas,11430,8
2012,Profesinio mokymo diplomas,11734,9
2013,Profesinio mokymo diplomas,11740,10
2014,Profesinio mokymo diplomas,11741,10
2015,Profesinio mokymo diplomas,11741,10
2003,Studijų pažymėjimas,-,-
2004,Studijų pažymėjimas,-,-
2005,Studijų pažymėjimas,-,-
2006,Studijų pažymėjimas,-,-
2007,Studijų pažymėjimas,-,-
2008,Studijų pažymėjimas,-,-
2009,Studijų pažymėjimas,-,-
2010,Studijų pažymėjimas,-,-
2011,Studijų pažymėjimas,17,-
2012,Studijų pažymėjimas,17,-
2013,Studijų pažymėjimas,17,-
2014,Studijų pažymėjimas,17,-
2015,Studijų pažymėjimas,27,-
2003,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,-,-
2004,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,-,-
2005,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,-,-
2006,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,3,-
2007,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,141,-
2008,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,3149,3
2009,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,7543,8
2010,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,7725,8
2011,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,7868,8
2012,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,7929,8
2013,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,7946,9
2014,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,7956,9
2015,Vidurinio išsilavinimo įgijimą patvirtinantis brandos atestatas,7956,9
