dadm_pavadinimas,metai1,fktp_id3,programos_pgl_amziu_pavadinimas2,metai,fktp_id2
Alytaus apskr.,2003,-,,,
Kauno apskr.,2003,-,,,
Klaipėdos apskr.,2003,-,,,
Marijampolės apskr.,2003,-,,,
Panevėžio apskr.,2003,-,,,
Šiaulių apskr.,2003,-,,,
Tauragės apskr.,2003,-,,,
Telšių apskr.,2003,-,,,
Utenos apskr.,2003,-,,,
Vilniaus apskr.,2003,7,,,
Alytaus apskr.,2004,-,,,
Kauno apskr.,2004,-,,,
Klaipėdos apskr.,2004,-,,,
Marijampolės apskr.,2004,-,,,
Panevėžio apskr.,2004,-,,,
Šiaulių apskr.,2004,-,,,
Tauragės apskr.,2004,-,,,
Telšių apskr.,2004,-,,,
Utenos apskr.,2004,-,,,
Vilniaus apskr.,2004,15,,,
Alytaus apskr.,2005,-,,,
Kauno apskr.,2005,5,,,
Klaipėdos apskr.,2005,-,,,
Marijampolės apskr.,2005,-,,,
Panevėžio apskr.,2005,-,,,
Šiaulių apskr.,2005,1,,,
Tauragės apskr.,2005,-,,,
Telšių apskr.,2005,-,,,
Utenos apskr.,2005,-,,,
Vilniaus apskr.,2005,19,,,
Alytaus apskr.,2006,1,,,
Kauno apskr.,2006,5,,,
Klaipėdos apskr.,2006,-,,,
Marijampolės apskr.,2006,-,,,
Panevėžio apskr.,2006,-,,,
Šiaulių apskr.,2006,1,,,
Tauragės apskr.,2006,-,,,
Telšių apskr.,2006,-,,,
Utenos apskr.,2006,-,,,
Vilniaus apskr.,2006,19,,,
Alytaus apskr.,2007,1,,,
Kauno apskr.,2007,10,,,
Klaipėdos apskr.,2007,-,,,
Marijampolės apskr.,2007,-,,,
Panevėžio apskr.,2007,-,,,
Šiaulių apskr.,2007,1,,,
Tauragės apskr.,2007,-,,,
Telšių apskr.,2007,-,,,
Utenos apskr.,2007,-,,,
Vilniaus apskr.,2007,29,,,
Alytaus apskr.,2008,7,,,
Kauno apskr.,2008,10,,,
Klaipėdos apskr.,2008,1,,,
Marijampolės apskr.,2008,-,,,
Panevėžio apskr.,2008,-,,,
Šiaulių apskr.,2008,3,,,
Tauragės apskr.,2008,-,,,
Telšių apskr.,2008,-,,,
Utenos apskr.,2008,4,,,
Vilniaus apskr.,2008,33,,,
Alytaus apskr.,2009,20,,,
Kauno apskr.,2009,29,,,
Klaipėdos apskr.,2009,4,,,
Marijampolės apskr.,2009,2,,,
Panevėžio apskr.,2009,9,,,
Šiaulių apskr.,2009,58,,,
Tauragės apskr.,2009,1,,,
Telšių apskr.,2009,-,,,
Utenos apskr.,2009,19,,,
Vilniaus apskr.,2009,152,,,
Alytaus apskr.,2010,116,,,
Kauno apskr.,2010,197,,,
Klaipėdos apskr.,2010,141,,,
Marijampolės apskr.,2010,13,,,
Panevėžio apskr.,2010,43,,,
Šiaulių apskr.,2010,229,,,
Tauragės apskr.,2010,2,,,
Telšių apskr.,2010,24,,,
Utenos apskr.,2010,59,,,
Vilniaus apskr.,2010,449,,,
Alytaus apskr.,2011,168,,,
Kauno apskr.,2011,302,,,
Klaipėdos apskr.,2011,202,,,
Marijampolės apskr.,2011,17,,,
Panevėžio apskr.,2011,75,,,
Šiaulių apskr.,2011,338,,,
Tauragės apskr.,2011,2,,,
Telšių apskr.,2011,33,,,
Utenos apskr.,2011,75,,,
Vilniaus apskr.,2011,737,,,
Alytaus apskr.,2012,257,,,
Kauno apskr.,2012,405,,,
Klaipėdos apskr.,2012,472,,,
Marijampolės apskr.,2012,17,,,
Panevėžio apskr.,2012,111,,,
Šiaulių apskr.,2012,375,,,
Tauragės apskr.,2012,14,,,
Telšių apskr.,2012,52,,,
Utenos apskr.,2012,89,,,
Vilniaus apskr.,2012,969,,,
Alytaus apskr.,2013,357,,,
Kauno apskr.,2013,500,,,
Klaipėdos apskr.,2013,512,,,
Marijampolės apskr.,2013,17,,,
Panevėžio apskr.,2013,224,,,
Šiaulių apskr.,2013,507,,,
Tauragės apskr.,2013,37,,,
Telšių apskr.,2013,112,,,
Utenos apskr.,2013,130,,,
Vilniaus apskr.,2013,1077,,,
Alytaus apskr.,2014,385,,,
Kauno apskr.,2014,649,,,
Klaipėdos apskr.,2014,533,,,
Marijampolės apskr.,2014,18,,,
Panevėžio apskr.,2014,228,,,
Šiaulių apskr.,2014,570,,,
Tauragės apskr.,2014,39,,,
Telšių apskr.,2014,117,,,
Utenos apskr.,2014,150,,,
Vilniaus apskr.,2014,1227,,,
Alytaus apskr.,2015,385,,,
Kauno apskr.,2015,649,,,
Klaipėdos apskr.,2015,533,,,
Marijampolės apskr.,2015,18,,,
Panevėžio apskr.,2015,228,,,
Šiaulių apskr.,2015,568,,,
Tauragės apskr.,2015,39,,,
Telšių apskr.,2015,117,,,
Utenos apskr.,2015,150,,,
Vilniaus apskr.,2015,1227,,,
Alytaus apskr.,2016,229,,,
Kauno apskr.,2016,602,,,
Klaipėdos apskr.,2016,360,,,
Marijampolės apskr.,2016,11,,,
Panevėžio apskr.,2016,200,,,
Šiaulių apskr.,2016,252,,,
Tauragės apskr.,2016,38,,,
Telšių apskr.,2016,62,,,
Utenos apskr.,2016,115,,,
Vilniaus apskr.,2016,839,,,
Alytaus apskr.,2017,229,,,
Kauno apskr.,2017,602,,,
Klaipėdos apskr.,2017,360,,,
Marijampolės apskr.,2017,11,,,
Panevėžio apskr.,2017,200,,,
Šiaulių apskr.,2017,252,,,
Tauragės apskr.,2017,38,,,
Telšių apskr.,2017,62,,,
Utenos apskr.,2017,115,,,
Vilniaus apskr.,2017,839,,,
Alytaus apskr.,2018,229,,,
Kauno apskr.,2018,596,,,
Klaipėdos apskr.,2018,354,,,
Marijampolės apskr.,2018,11,,,
Panevėžio apskr.,2018,200,,,
Šiaulių apskr.,2018,252,,,
Tauragės apskr.,2018,38,,,
Telšių apskr.,2018,62,,,
Utenos apskr.,2018,115,,,
Vilniaus apskr.,2018,839,,,
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
